Date,Time,Place,Crowd_Count (in Thousands),Weather,Day_of_Week,Holiday,Event,Temperature (�C),Week_of_Year,Special_Features,Region,Transportation_Type
01-01-2024,14:56:00,"Sanchi Stupa, Madhya Pradesh",825,Cloudy,Monday,Yes,Cultural Event,39,0,National Holiday,West,Walking
02-01-2024,00:48:00,"Qutub Minar, Delhi",8962,Cloudy,Tuesday,No,Regular Day,30,0,N/A,South,Private
03-01-2024,02:06:00,"Varanasi Ghats, Varanasi",10000,Clear,Wednesday,No,Regular Day,32,0,N/A,South,Public
04-01-2024,20:39:00,"Qutub Minar, Delhi",18632,Sunny,Thursday,No,Festival,24,0,N/A,West,Private
05-01-2024,05:38:00,"Red Fort, Delhi",5155,Rainy,Friday,No,Cultural Event,39,0,N/A,East,Walking
06-01-2024,08:50:00,"Mecca Masjid, Hyderabad",21382,Rainy,Saturday,No,National Holiday,29,0,N/A,Central,Public
07-01-2024,22:20:00,"Qutub Minar, Delhi",28882,Sunny,Sunday,No,Festival,33,1,N/A,North,Private
08-01-2024,02:19:00,"Red Fort, Delhi",5580,Rainy,Monday,No,Regular Day,34,1,N/A,Central,Walking
09-01-2024,15:30:00,"Varanasi Ghats, Varanasi",15248,Rainy,Tuesday,No,Festival,23,1,N/A,West,Walking
10-01-2024,01:29:00,"Qutub Minar, Delhi",16409,Rainy,Wednesday,No,Festival,38,1,N/A,North,Walking
11-01-2024,04:49:00,"Taj Mahal, Agra",18818,Clear,Thursday,No,Cultural Event,38,1,N/A,West,Walking
12-01-2024,06:35:00,"Sanchi Stupa, Madhya Pradesh",500,Cloudy,Friday,No,Regular Day,38,1,N/A,Central,Public
13-01-2024,16:23:00,"Gateway of India, Mumbai",19951,Sunny,Saturday,Yes,Regular Day,29,1,National Holiday,West,Public
14-01-2024,17:23:00,"Taj Mahal, Agra",17775,Rainy,Sunday,Yes,Regular Day,38,2,National Holiday,Central,Walking
15-01-2024,13:34:00,"India Gate, Delhi",47884,Rainy,Monday,Yes,Festival,23,2,National Holiday,South,Public
16-01-2024,05:07:00,"Sanchi Stupa, Madhya Pradesh",2000,Clear,Tuesday,No,Regular Day,35,2,N/A,Central,Walking
17-01-2024,00:27:00,"Red Fort, Delhi",23523,Rainy,Wednesday,Yes,Festival,22,2,National Holiday,West,Private
18-01-2024,15:03:00,"Varanasi Ghats, Varanasi",8606,Clear,Thursday,No,Cultural Event,39,2,N/A,North,Private
19-01-2024,15:36:00,"Taj Mahal, Agra",16173,Cloudy,Friday,No,Cultural Event,30,2,N/A,North,Private
